Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:PRX,"Prosus N.V. (JSE:PRX)",https://www.listcorp.com/jse/prx/prosus-nv,"	2287790000000",984.09,22.41,2.33,Technology
JSE:BHG,"BHP Group Limited (JSE:BHG)",https://www.listcorp.com/jse/bhg/bhp-group-limited,"	2238510000000",444.96,3.97,0.9,"Basic Materials"
JSE:ANH,"Anheuser-Busch Inbev (JSE:ANH)",https://www.listcorp.com/jse/anh/anheuser-busch-inbev,"	2201800000000",1227.99,2.82,0.23,"Consumer Goods"
JSE:BTI,"British American Tobacco (JSE:BTI)",https://www.listcorp.com/jse/bti/british-american-tobacco,"	1987650000000",858.82,10.44,1.23,"Consumer Goods"
JSE:CFR,"Compagnie Fin Richemont (JSE:CFR)",https://www.listcorp.com/jse/cfr/compagnie-fin-richemont,"	1783080000000",3329,12.27,0.37,"Consumer Goods"
JSE:GLN,"Glencore plc (JSE:GLN)",https://www.listcorp.com/jse/gln/glencore-plc,"	964367000000",72.35,-0.57,-0.78,"Basic Materials"
JSE:NPN,"Naspers Limited - N (JSE:NPN)",https://www.listcorp.com/jse/npn/naspers-limited-n,"	881232000000",5446.3,86.82,1.62,Technology
JSE:AGL,"Anglo American plc (JSE:AGL)",https://www.listcorp.com/jse/agl/anglo-american-plc,"	626228000000",532.67,1.12,0.21,"Basic Materials"
JSE:ANG,"Anglogold Ashanti (JSE:ANG)",https://www.listcorp.com/jse/ang/anglogold-ashanti,"	419908000000",824.43,-7.99,-0.96,"Basic Materials"
JSE:FSR,"Firstrand Limited (JSE:FSR)",https://www.listcorp.com/jse/fsr/firstrand-limited,"	419646000000",74.35,-0.46,-0.61,Financials
JSE:CPI,"Capitec Bank Holdings Limited (JSE:CPI)",https://www.listcorp.com/jse/cpi/capitec-bank-holdings-limited,"	415417000000",3574.8,-3.22,-0.09,Financials
JSE:GFI,"Gold Fields Limited (JSE:GFI)",https://www.listcorp.com/jse/gfi/gold-fields-limited,"	387134000000",427.91,-4.63,-1.07,"Basic Materials"
JSE:SBK,"Standard Bank Group (JSE:SBK)",https://www.listcorp.com/jse/sbk/standard-bank-group,"	372867000000",227.455,0.95,0.42,Financials
JSE:VOD,"Vodacom Group Limited (JSE:VOD)",https://www.listcorp.com/jse/vod/vodacom-group-limited,"	288425000000",137.88,-0.93,-0.67,Telecommunications
JSE:MTN,"MTN Group Limited (JSE:MTN)",https://www.listcorp.com/jse/mtn/mtn-group-limited,"	256660000000",140.68,0.71,0.51,Telecommunications
